id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
267;Dímelo bajito;0;Manzanita;HR;NULL;2000-2004
268;Yellow;86;Coldplay;HR;rock;2000-2004
269;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;HR;NULL;2000-2004
270;Ledena;40;Toše Proeski;HR;pop;2000-2004
271;2 Faced;0;Louise;HR;pop;2000-2004
272;Supermen;46;Dino Merlin, Željko Joksimović;HR;NULL;2000-2004
273;Kiedy góral umiera;0;Harlem;HR;polish;2000-2004
274;Da Li Si Me Voljela Il' Nisi;44;Sejo Kalač;HR;NULL;2000-2004
275;San Pedro;0;Revolver, Mick Glossp;HR;NULL;2000-2004
276;The Real Slim Shady;81;Eminem;HR;rap;2000-2004
277;El peligro;0;Revolver;HR;metal;2000-2004
278;Moj Lipi Anđele;40;Oliver Dragojevic;HR;NULL;2000-2004
279;This Is Me;0;Dream;HR;pop;2000-2004
280;Lopov;46;Indira Radić;HR;EliZe;2000-2004
281;Here She Comes Again;0;Sasha;HR;pop;2000-2004
282;Cija Si;42;Toše Proeski;HR;balkan;2000-2004
283;Turn It into Something Special;0;Sasha;HR;pop;2000-2004
284;Ljerka;39;Djordje Balasevic;HR;NULL;2000-2004
285;Beautiful Inside;0;Louise;HR;pop;2000-2004
286;Sude Mi;36;Marko Perković Thompson, Miroslav Škoro;HR;NULL;2000-2004
287;American Life (Director's Cut) - 4K Remaster;0;Madonna;HR;NULL;2000-2004
288;Numb;83;Linkin Park;HR;rock;2000-2004
289;Wierz? w siebie;0;Harlem;HR;NULL;2000-2004
290;Mockingbird;81;Eminem;HR;rap;2000-2004
291;Eso de saber;0;Revolver;HR;LO MAS;2000-2004
292;Zmaj;43;Indira Radić;HR;NULL;2000-2004
293;Take Me Home;0;Terror Squad, remy, Fat Joe, Dre, Armageddon;HR;NULL;2000-2004
294;Poruči Pesmu Sa Imenom Mojim;39;Sanja Đorđević;HR;NULL;2000-2004
295;Love Is Alive - Live;;;;;2000-2004
296;Nije Htjela;40;Kemal Monteno;HR;ex-yu;2000-2004
297;Ni na no;0;Javier Álvarez;HR;NULL;2000-2004
298;Can't Stop;80;Red Hot Chili Peppers;HR;rock;2000-2004
299;Call Me;0;Blondie;HR;80s;2000-2004
300;Yellow;86;Coldplay;BA;rock;2000-2004
301;Angel;28;Shaggy, Rayvon;BA;NULL;2000-2004
302;The Scientist;83;Coldplay;BA;Coldplay;2000-2004
303;Stuck in the Middle with You;0;Louise;BA;pop;2000-2004
304;Without Me;83;Eminem;BA;rap;2000-2004
305;Cabelo Raspadinho;2;Chiclete Com Banana;BA;brasil;2000-2004
306;Numb;83;Linkin Park;BA;rock;2000-2004
307;Devolva-Me;1;Adriana Calcanhotto;BA;mpb;2000-2004
308;Mr. Brightside;82;The Killers;BA;rock;2000-2004
309;La vita è;1;Nek;BA;pop;2000-2004
310;In the End;82;Linkin Park;BA;rock;2000-2004
311;This Is My Time;0;Sasha;BA;pop;2000-2004
312;Sparks;82;Coldplay;BA;rock;2000-2004
313;He Loves U Not;0;Dream;BA;pop;2000-2004
314;Mockingbird;81;Eminem;BA;rap;2000-2004
315;Rooftop;0;Sasha;BA;pop;2000-2004
316;Unwritten;81;Natasha Bedingfield;BA;pop;2000-2004
317;Dímelo bajito;0;Manzanita;BA;NULL;2000-2004
318;The Real Slim Shady;81;Eminem;BA;rap;2000-2004
319;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;BA;NULL;2000-2004
320;Can't Stop;80;Red Hot Chili Peppers;BA;rock;2000-2004
321;2 Faced;0;Louise;BA;pop;2000-2004
322;Bring Me To Life;80;Evanescence;BA;rock;2000-2004
323;Kiedy góral umiera;0;Harlem;BA;polish;2000-2004
324;Yeah! (feat. Lil Jon & Ludacris);80;USHER, Lil Jon, Ludacris;BA;NULL;2000-2004
325;San Pedro;0;Revolver, Mick Glossp;BA;NULL;2000-2004
326;Somewhere Only We Know;80;Keane;BA;britpop;2000-2004
327;El peligro;0;Revolver;BA;metal;2000-2004
328;How You Remind Me;80;Nickelback;BA;rock;2000-2004
329;This Is Me;0;Dream;BA;pop;2000-2004
330;Toxicity;80;System Of A Down;BA;metal;2000-2004
331;Here She Comes Again;0;Sasha;BA;pop;2000-2004
332;Duvet;79;bôa;BA;anime;2000-2004
333;Turn It into Something Special;0;Sasha;BA;pop;2000-2004
334;Clocks;79;Coldplay;BA;rock;2000-2004
335;Beautiful Inside;0;Louise;BA;pop;2000-2004
336;Till I Collapse;79;Eminem, Nate Dogg;BA;NULL;2000-2004
337;American Life (Director's Cut) - 4K Remaster;0;Madonna;BA;NULL;2000-2004
338;Faint;79;Linkin Park;BA;rock;2000-2004
339;Wierz? w siebie;0;Harlem;BA;NULL;2000-2004
340;Chop Suey!;79;System Of A Down;BA;alternative metal;2000-2004
341;Eso de saber;0;Revolver;BA;LO MAS;2000-2004
342;Seven Nation Army;78;The White Stripes;BA;rock;2000-2004
343;Take Me Home;0;Terror Squad, remy, Fat Joe, Dre, Armageddon;BA;NULL;2000-2004
344;One Step Closer;78;Linkin Park;BA;Nu Metal;2000-2004
345;Love Is Alive - Live;;;;;2000-2004
346;This Love;78;Maroon 5;BA;pop;2000-2004
347;Ni na no;0;Javier Álvarez;BA;NULL;2000-2004
348;She Will Be Loved - Radio Mix;78;Maroon 5;BA;pop;2000-2004
349;Call Me;0;Blondie;BA;80s;2000-2004
350;Yellow;86;Coldplay;ME;rock;2000-2004
351;El peligro;0;Revolver;ME;metal;2000-2004
352;The Scientist;83;Coldplay;ME;Coldplay;2000-2004
353;Angel;28;Shaggy, Rayvon;ME;NULL;2000-2004
354;Without Me;83;Eminem;ME;rap;2000-2004
355;Cabelo Raspadinho;2;Chiclete Com Banana;ME;brasil;2000-2004
356;Numb;83;Linkin Park;ME;rock;2000-2004
357;Devolva-Me;1;Adriana Calcanhotto;ME;mpb;2000-2004
358;Mr. Brightside;82;The Killers;ME;rock;2000-2004
359;La vita è;1;Nek;ME;pop;2000-2004
360;In the End;82;Linkin Park;ME;rock;2000-2004
361;This Is My Time;0;Sasha;ME;pop;2000-2004
362;Sparks;82;Coldplay;ME;rock;2000-2004
363;He Loves U Not;0;Dream;ME;pop;2000-2004
364;Mockingbird;81;Eminem;ME;rap;2000-2004
365;Rooftop;0;Sasha;ME;pop;2000-2004
366;Unwritten;81;Natasha Bedingfield;ME;pop;2000-2004
367;Stuck in the Middle with You;0;Louise;ME;pop;2000-2004
368;The Real Slim Shady;81;Eminem;ME;rap;2000-2004
369;Dímelo bajito;0;Manzanita;ME;NULL;2000-2004
370;Can't Stop;80;Red Hot Chili Peppers;ME;rock;2000-2004
371;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;ME;NULL;2000-2004
372;Bring Me To Life;80;Evanescence;ME;rock;2000-2004
373;2 Faced;0;Louise;ME;pop;2000-2004
374;Yeah! (feat. Lil Jon & Ludacris);80;USHER, Lil Jon, Ludacris;ME;NULL;2000-2004
375;Kiedy góral umiera;0;Harlem;ME;polish;2000-2004
376;Somewhere Only We Know;80;Keane;ME;britpop;2000-2004
